conversation,panic_meter
"@ IndianNavy please saving u.s., stick in Cuttack since cyclone smash!",84.2
"@ IndianNavy please rescue us, stick in Cuttack since cyclone collision!",84.2
"My house is completely flooded, water till knee degree 😭 # FloodAlert",60.4
"My house is completely flooded, water supply money box knee level 😭 # FloodAlert",60.4
"Just another day, stick in traffic due to rain 😒",86.6
"Just another day, stick in dealings due to rain down 😒",86.6
"In high spirits waves hitting the shore, fishermen in danger 🚤 🌊",68.4
"High wave hitting the shore, fisher in danger 🚤 🌊",68.4
"Ability slash in whole area due to cyclone, scarey night 😰",59.5
"King cut in whole area referable to cyclone, scary night 😰",59.5
"No food, no crapulence water since yesterday, ground in Kolkata flood",99.0
"No food, no drunkenness water since yesterday, strand in Calcutta flood",99.0
Kadal la periya alai varuthu (vainglorious waves at sea) 🌊 stick safe # TamilNadu,32.1
Kadal la periya alai varuthu (big waves at sea) 🌊 remain good # TamilNadu,32.1
"Storm billow is snap off the wall, ocean body of water entering colony in Chennai",72.4
"Storm surge is soften the wall, sea water put down colony in Madras",72.4
"Water go into flat coat floor, electricity blend, delight beam help urgently!!",94.2
"Water enter basis floor, electricity go, delight send assistance urgently!!",94.2
"Bombay rain down again lol, bas abhi to office chhod do 😂 🌧 ️",20.9
"Bombay rains again lol, bas abhi to office chhod execute 😂 🌧 ️",20.9
"Bhai kal se baarish atomic number 67 rahi hai, koi madad nahi aayi abhi tak 😡",53.2
"Bhai kal se baarish atomic number 67 rahi hai, koi madad nahi aayi abhi tak 😡",53.2
"Seashore flood slowly, mass moving inland",37.0
"Seashore flooding slowly, multitude strike inland",37.0
"Fundament ' t go outside, route blocked referable to heavy rainwater in Visakhapatnam. Anyone else stuck?",95.7
"Can ' t go outside, roads block referable to heavy rainwater in Visakhapatnam. Anyone else stuck?",95.7
"Beach closed due to eminent lunar time period, lifeguards admonish tourists ⚠ ️",72.6
"Beach closed due to high tide, lifeguards warn tourer ⚠ ️",72.6
"Do non go bad inside building, shake township please 😭 # TamilNaduAlert",53.3
"Do not get inner building, shake township please 😭 # TamilNaduAlert",53.3
"Beach closed referable to high pitched lunar time period, lifeguard warning tourists ⚠ ️",58.2
"Beach closed due to mellow lunar time period, lifeguards warning tourists ⚠ ️",58.2
"Cyclone winds be overly strong, trees falling everywhere 🌪 ️ # CycloneAlert",68.3
"Cyclone winds are to a fault hard, trees falling everywhere 🌪 ️ # CycloneAlert",68.3
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",25.2
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",25.2
"Cyclone destroyed roof of my house, kyd shivering 😢",90.1
"Cyclone destroyed roof of my house, kids shudder 😢",90.1
"Rump ' t believe the size of it of these wave, never seen alike this before",64.4
"Toilet ' t believe the sizing of these wave, ne'er seen like this before",64.4
"@ IndianNavy please rescue us, stuck in Thiruvananthapuram since cyclone hit!",93.5
"@ IndianNavy please deliverance us, stuck in Thiruvananthapuram since cyclone hit!",93.5
"Heavy rainfall once again, classic Mumbai monsoon 😂",23.8
"Heavy rain again, classical Bombay monsoon 😂",23.8
"Hey beach clubhouse, can we drown to land again? ? Kids crying 🚨",88.6
"Hey beach nightspot, can we float to set ashore again? ? Kids shout 🚨",88.6
"Bhai kal se baarish holmium rahi hai, koi madad nahi aayi abhi tak 😡",63.9
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",63.9
"Bombay rains over again lol, bas abhi to office chhod do 😂 🌧 ️",32.2
"Mumbai rains once again lol, bas abhi to federal agency chhod set 😂 🌧 ️",32.2
"@ IndianNavy please rescue us, stuck in Puri since cyclone bang!",84.0
"@ IndianNavy please delivery u, stuck in Puri since cyclone hit!",84.0
"Kids holler, we are on rooftop since last night, h2o jump tight 🚨",84.8
"Nestling cry out, we are on rooftop since last night, water rising fast 🚨",84.8
"Barely another day, adhere in dealings referable to rain 😒",82.5
"Just another day, stuck in dealings due to rain down 😒",82.5
"No food, no boozing water since yesterday, stranded in Calcutta flood",84.0
"No food, no drinking water since yesterday, strand in Calcutta flood",84.0
"No food, no drinking h2o since yesterday, stranded in Puri deluge",96.0
"No food, no drinking water system since yesterday, strand in Puri flood",96.0
"Cellar fully satiate with water, car doob gayi 😭 # Floods",89.1
"Basement amply replete with water, car scutch grass gayi 😭 # Floods",89.1
"No food, no boozing urine since yesterday, ground in Cuttack flood lamp",81.5
"No intellectual nourishment, no drinking piddle since yesterday, stranded in Cuttack flood",81.5
"Heavy rainfall again, classic Mumbai monsoon 😂",25.5
"Heavy rain once more, graeco roman Mumbai monsoon 😂",25.5
"Only another daylight, stuck in traffic due to rain down 😒",84.5
"Just now another day, adhere in traffic due to rain 😒",84.5
"Just another day, stick in traffic due to rain down 😒",94.8
"Just another solar day, stuck in dealings due to rain 😒",94.8
"Mumbai rains once again lol, bas abhi to spot chhod coiffure 😂 🌧 ️",16.5
"Bombay rain once again lol, bas abhi to office chhod dress 😂 🌧 ️",16.5
"Hindquarters ' t trust the size of these wave, never view like this before",46.8
"Can ' t think the size of these wave, never go out corresponding this before",46.8
"Kid crying, we are on rooftop since concluding evening, water supply rising fast 🚨",80.3
"Nipper crying, we are on rooftop since last evening, water rising tight 🚨",80.3
"My house is completely flood, water until knee stage 😭 # FloodAlert",43.2
"My household be all flooded, water until knee level 😭 # FloodAlert",43.2
"Beach closed due to high lunar time period, lifeguards discourage holidaymaker ⚠ ️",57.4
"Beach close up due to mellow tide, lifeguards monish tourists ⚠ ️",57.4
"Mumbai rain once again lol, bas abhi to agency chhod do 😂 🌧 ️",16.5
"Mumbai rains again lol, bas abhi to post chhod cause 😂 🌧 ️",16.5
"Flood in Chennai, please @ NDRF occur fast 🙏",66.2
"Photoflood in Madras, please @ NDRF make out fast 🙏",66.2
"No food, no imbibition weewee since yesterday, stranded in Puri flood",84.0
"No nutrient, no boozing water since yesterday, ground in Puri photoflood",84.0
"Heavy rainwater again, classic Mumbai monsoon 😂",17.5
"Heavy rain again, classical Bombay monsoon 😂",17.5
"Cyclone vacation hold, no college today yay 😅",6.3
"Cyclone holiday declare, no college today yay 😅",6.3
"No food, no drinking water since yesterday, stranded in Calcutta flood tide",95.5
"No food, no imbibing water since yesterday, stranded in Calcutta flood",95.5
"Water participate ground story, electrical energy gone, please ship help desperately!!",96.1
"Water come in primer floor, electrical energy gone, please transport help desperately!!",96.1
"Barely another day, stuck in traffic referable to rain down 😒",96.5
"But another day, stick in dealings due to rain 😒",96.5
"Can ' t go outside, road blocked due to gruelling rainwater in Puri. Anyone else flummox?",93.9
"Posterior ' t go outside, roads obstruct due to heavy rain in Puri. Anyone else stuck?",93.9
"Basement altogether filled with water, car doob gayi 😭 # Inundation",87.3
"Cellar whole filled with water, car doob gayi 😭 # Floods",87.3
"Bhai kal se baarish holmium rahi hai, koi madad nahi aayi abhi tak 😡",57.4
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",57.4
"High waves hit the shoring, fishermen in risk 🚤 🌊",64.2
"Gamey waves hitting the shore, fisher in danger 🚤 🌊",64.2
"@ IndianNavy please rescue us, stuck in Cuttack since cyclone hit!",82.6
"@ IndianNavy please rescue us, stuck in Cuttack since cyclone hit!",82.6
"Kids cry, we are on rooftop since terminal night, water arise fast 🚨",94.1
"Kids crying, we are on rooftop since last night, piddle rising tight 🚨",94.1
Rainy vibraphone with chai ☕ but roads full of water 🤦,9.4
Rainy vibes with chai ☕ but road full of piss 🤦,9.4
"Storm surge is break the wall, sea water inscribe settlement in Madras",55.1
"Violent storm surge be breaking the rampart, sea water entering colony in Chennai",55.1
"Seashore flooding slowly, hoi polloi propel inland",40.8
"Seashore flooding slow, citizenry go inland",40.8
"Bombay rain again lol, bas abhi to office chhod do 😂 🌧 ️",9.8
"Mumbai rains over again lol, bas abhi to office chhod do 😂 🌧 ️",9.8
"Beach closed due to high lunar time period, lifeguard warn holidaymaker ⚠ ️",58.0
"Beach close referable to high lunar time period, lifeguards admonish tourists ⚠ ️",58.0
"Power cut in whole arena due to cyclone, chilling nox 😰",71.9
"Top executive deletion in whole area due to cyclone, chilling night 😰",71.9
"My house is altogether swamp, h2o till knee level 😭 # FloodAlert",66.4
"My sign of the zodiac is completely flooded, water public treasury genu level 😭 # FloodAlert",66.4
Lol people swimming on road over again 🌧 ️,2.3
Lol people swimming on route again 🌧 ️,2.3
"Lavatory ' t believe the sizing of these wave, never determine like this before",66.5
"Stool ' t believe the size of these wafture, never take in similar this before",66.5
"Dismiss ' t believe the sizing of these waves, ne'er seen same this before",45.8
"Tin ' t believe the sizing of these waves, ne'er see like this before",45.8
"Water entered ground trading floor, electricity gone, delight post supporter desperately!!",92.5
"Water introduce ground level, electricity gone, delight send assistance desperately!!",92.5
"@ IndianNavy please rescue us, stuck in Thiruvananthapuram since cyclone bang!",80.6
"@ IndianNavy please saving us, perplex in Thiruvananthapuram since cyclone hit!",80.6
Kadal pelican state periya alai varuthu (big waves at sea) 🌊 stay safe # TamilNadu,59.8
Kadal la periya alai varuthu (braggart waves at sea) 🌊 stay dependable # TamilNadu,59.8
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",68.1
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",68.1
"Cellar completely fill up with water, car cynodon dactylon gayi 😭 # Floods",81.6
"Basement completely fill with water, car kweek gayi 😭 # Floods",81.6
"Strong wind are too strong, trees falling everyplace 🌪 ️ # WeatherAlert",55.7
"Strong winds are also strong, trees falling all over 🌪 ️ # WeatherAlert",55.7
"High waves hit the shoring, fishermen in danger 🚤 🌊",62.3
"High waves shoot the shore, fisher in risk 🚤 🌊",62.3
"Photoflood in Visakhapatnam, delight @ NDRF come fast 🙏",37.5
"Deluge in Visakhapatnam, please @ NDRF come fast 🙏",37.5
"Weewee enroll ground storey, electricity go, please send help desperately!!",84.1
"Water enter footing floor, electricity locomote, delight send help desperately!!",84.1
Lol people swim on road again 🌧 ️,17.5
Lol citizenry swim on route again 🌧 ️,17.5
"Kids crying, we personify on rooftop since lowest night, water originate tight 🚨",93.9
"Kids cry, we live on rooftop since last night, urine rise up fast 🚨",93.9
"Water introduce ground floor, electrical energy gone, please broadcast supporter urgent!",80.6
"Water inscribe dry land level, electricity gone, please broadcast help urgent!",80.6
Rainy vibes with chai ☕ but road broad of water 🤦,0.1
Rainy vibes with chai ☕ but roads total of water 🤦,0.1
"Kids crying, we embody on rooftop since lowest night, pee rising fast 🚨",80.6
"Kid call out, we are on rooftop since last nighttime, water ascend fast 🚨",80.6
"Cellar fully meet with piddle, machine doob gayi 😭 # Floods",89.0
"Cellar full make full with water, car doob gayi 😭 # Floods",89.0
"Beach close due to high lunar time period, lifeguards warning tourists ⚠ ️",63.1
"Beach closed due to high pitched lunar time period, lifesaver warning tourists ⚠ ️",63.1
"Seashore glut easy, people move inland",37.6
"Seashore flood slowly, the great unwashed moving inland",37.6
"H2o participate ground floor, electricity gone, please send out aid desperately!!",95.6
"Water system entered ground storey, electrical energy gone, please send out assist urgently!!",95.6
"Cyclone destroyed roof of my house, kids throb 😢",89.1
"Cyclone destroyed roof of my household, kids shivering 😢",89.1
"Seashore inundate slowly, people go inland",38.2
"Seashore flooding slowly, masses moving inland",38.2
Kadal la periya alai varuthu (big waves at sea) 🌊 stay safe # TamilNadu,46.1
Kadal la periya alai varuthu (big undulation at sea) 🌊 stay safe # TamilNadu,46.1
"Can ' t consider the sizing of these waving, never interpret like this before",75.9
"Hind end ' t believe the size of it of these wafture, never seen comparable this before",75.9
"Cellar entirely filled with water, automobile cynodon dactylon gayi 😭 # Floods",99.1
"Basement completely filled with urine, cable car doob gayi 😭 # Flood",99.1
"@ IndianNavy please saving us, adhere in Cuttack since cyclone hit!",81.5
"@ IndianNavy please deliverance u.s.a., stuck in Cuttack since cyclone hit!",81.5
"Heavy rain again, classical Bombay monsoon 😂",27.4
"Heavy rain once again, authoritative Mumbai monsoon 😂",27.4
Lol the great unwashed swimming on road once again 🌧 ️,25.7
Lol people swim on road again 🌧 ️,25.7
"Pee entered primer coat floor, electricity cash in one's chips, delight send help desperately!!",96.0
"Water supply entered priming floor, electrical energy gone, delight send help desperately!!",96.0
"Basement entirely make full with water, car doob gayi 😭 # Floods",86.7
"Cellar completely filled with urine, car star grass gayi 😭 # Floods",86.7
"Storm surge be breaking the wall, sea h2o entering colony in Calcutta",61.8
"Storm surge exist breaking the rampart, sea water entering settlement in Calcutta",61.8
"My theater is completely flood, water till knee horizontal surface 😭 # FloodAlert",48.9
"My house personify completely flooded, water system public treasury knee level 😭 # FloodAlert",48.9
"Bombay rain down again lol, bas abhi to power chhod do 😂 🌧 ️",21.2
"Bombay rains once again lol, bas abhi to office chhod do 😂 🌧 ️",21.2
"Simply another day, stuck in traffic referable to rain 😒",86.6
"Exactly another twenty four hours, stuck in traffic due to rain down 😒",86.6
"Kyd crying, we are on rooftop since last nox, water rising fast 🚨",98.9
"Nipper crying, we are on rooftop since last night, water rising tight 🚨",98.9
"No food, no drinking water since yesterday, strand in Visakhapatnam photoflood",99.7
"No food, no drink water since yesterday, stranded in Visakhapatnam flood",99.7
"Heavy rain over again, classic Bombay monsoon 😂",13.4
"Heavy pelting again, greco roman Mumbai monsoon 😂",13.4
"Beach close due to high lunar time period, lifeguards warn tourist ⚠ ️",76.6
"Beach closed due to high lunar time period, lifeguards warn tourists ⚠ ️",76.6
"Powerfulness cut in whole area due to cyclone, scary nighttime 😰",63.9
"Power cut in whole area due to cyclone, shivery night 😰",63.9
"Water system introduce ground floor, electricity gone, delight send assist desperately!!",97.4
"Water infix reason floor, electrical energy go, please broadcast help urgently!!",97.4
"Cyclone winds are too secure, trees fall everywhere 🌪 ️ # CycloneAlert",57.3
"Cyclone winds exist too strong, sir herbert beerbohm tree pass everyplace 🌪 ️ # CycloneAlert",57.3
"@ IndianNavy please rescue us, stuck in Puri since cyclone hit!",83.3
"@ IndianNavy please saving us, stuck in Puri since cyclone hit!",83.3
"No nutrient, no imbibing water since yesterday, stranded in Thiruvananthapuram deluge",86.0
"No food for thought, no drinking water since yesterday, stranded in Thiruvananthapuram inundation",86.0
"Seashore swamp easy, people move inland",46.0
"Seashore flooding slowly, people move inland",46.0
"Can ' t consider the size of these wave, never seen like this before",32.0
"Canful ' t believe the size of these waving, ne'er seen like this before",32.0
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",23.0
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",23.0
"Huge wave strike shore, fishermen in risk 🚤 🌊",66.7
"Huge wave bump off shoring, fisherman in danger 🚤 🌊",66.7
"High wave hitting the shoring, fishermen in peril 🚤 🌊",57.9
"High wave hit the shoring, fishermen in danger 🚤 🌊",57.9
"Rump ' t pop off outside, roadstead blocked due to heavy rain in Cuttack. Anyone else bind?",92.6
"Throne ' t go outside, roads blocked ascribable to heavy pelting in Cuttack. Anyone else stuck?",92.6
Rainy vibes with chai ☕ simply roads broad of weewee 🤦,25.7
Rainy vibes with chai ☕ but roads total of water 🤦,25.7
"Cellar completely filled with water, car bahama grass gayi 😭 # Floods",84.8
"Cellar completely filled with body of water, car bermuda grass gayi 😭 # Floods",84.8
"Can ' t believe the size of it of these undulation, never find out similar this before",49.2
"Put up ' t consider the sizing of these waves, never seen like this before",49.2
"No nutrient, no drinking water since yesterday, stranded in Calcutta rising tide",93.6
"No food, no drinking water since yesterday, run aground in Kolkata alluvion",93.6
"Mumbai rains again lol, bas abhi to office chhod exercise 😂 🌧 ️",15.1
"Bombay rains once again lol, bas abhi to authority chhod do 😂 🌧 ️",15.1
"Gamey waves hit the shoreline, fishermen in danger 🚤 🌊",70.0
"High waves strike the shoreline, fisherman in peril 🚤 🌊",70.0
"Tempest upsurge is breaking the wall, sea water entering settlement in Madras",65.9
"Violent storm upsurge is breaking the wall, ocean water entering colony in Madras",65.9
"My house cost altogether flood, water till knee level 😭 # FloodAlert",62.9
"My menage is whole flood, water till knee horizontal surface 😭 # FloodAlert",62.9
"My house is wholly flooded, piddle cashbox knee level 😭 # FloodAlert",25.2
"My sign is completely flooded, water till stifle level 😭 # FloodAlert",25.2
Maestro name gay vidalho 😂 merely sea not so friendly 🌊,40.9
Maestro name cheery vidalho 😂 just sea not so well disposed 🌊,40.9
"Power baseball swing in whole area ascribable to cyclone, scary nox 😰",56.5
"Ability cold shoulder in whole arena due to cyclone, scarey night 😰",56.5
"Cellar completely filled with body of water, railroad car doob gayi 😭 # Floods",92.4
"Cellar completely filled with piss, car doob gayi 😭 # Floods",92.4
"Heavy pelting once more, classic Mumbai monsoon 😂",17.5
"Heavy rain again, classic Bombay monsoon 😂",17.5
"Bhai kal se baarish holmium rahi hai, koi madad nahi aayi abhi tak 😡",54.7
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",54.7
Rainy vibes with chai ☕ but roads wide cut of body of water 🤦,36.4
Rainy vibes with chai ☕ but route full of water 🤦,36.4
"Cyclone vacation declared, no college today yay 😅",15.2
"Cyclone vacation declared, no college today yay 😅",15.2
"Can ' t think the size of it of these wafture, neverseenlikebefore",36.4
"Lav ' t think the sizing of these wave, neverseenlikebefore",36.4
"Beach close due to high pitched lunar time period, lifeguards warning tourists ⚠ ️",52.2
"Beach shut due to high tide, lifeguard warning holidaymaker ⚠ ️",52.2
"Heavy rain over again, classic Mumbai monsoon 😂",37.1
"Heavy rainwater again, classic Mumbai monsoon 😂",37.1
Kadal lanthanum periya alai varuthu (handsome waves at ocean) 🌊 detain safe # TamilNadu,31.8
Kadal pelican state periya alai varuthu (prominent waves at sea) 🌊 quell safe # TamilNadu,31.8
"Can ' t go external, road blocked ascribable to operose rain in Thiruvananthapuram. Anyone else stuck?",88.9
"Toilet ' t go outside, roadstead block due to heavy rain in Thiruvananthapuram. Anyone else stick?",88.9
"Eminent waves hitting the shoring, fishermen in risk 🚤 🌊",71.6
"High waves hitting the shoring, fisherman in peril 🚤 🌊",71.6
"Beach shut down due to high tide, lifesaver warning tourer ⚠ ️",19.2
"Beach closed imputable to high lunar time period, lifeguards warning tourists ⚠ ️",19.2
"No solid food, no drinking h2o since yesterday, run aground in Thiruvananthapuram flood",99.1
"No food, no drinking h2o since yesterday, stranded in Thiruvananthapuram flood",99.1
Rainy vibes with chai ☕ but roads full of piddle 🤦,19.3
Rainy vibes with chai ☕ but roads full of h2o 🤦,19.3
"Nates ' t believe the size of these waves, never see like this before",70.6
"Can ' t believe the size of it of these waves, ne'er see similar this before",70.6
"Seashore flood lento, people impress inland",25.8
"Seashore flooding tardily, people displace inland",25.8
"Heavy rain over again, definitive Mumbai monsoon 😂",19.4
"Heavy rain once again, classic Mumbai monsoon 😂",19.4
Rainy vibes with chai ☕ merely roads replete of water 🤦,0.1
Rainy vibraharp with chai ☕ but roads full of water supply 🤦,0.1
"Piss entered ground floor, electrical energy gone, delight mail help desperately!!",99.6
"Weewee go into ground floor, electrical energy gone, please send assistant desperately!!",99.6
"Storm surge is breaking the rampart, ocean water insert colony in Calcutta",67.7
"Tempest surge is breaking the wall, sea water system come in colony in Calcutta",67.7
"No solid food, no drinking body of water since yesterday, strand in Cuttack flood",99.5
"No food, no imbibition water since yesterday, stranded in Cuttack flood",99.5
"Beach shut due to gamy lunar time period, lifeguards warning tourists ⚠ ️",63.9
"Beach closed due to high lunar time period, lifeguards warning tourist ⚠ ️",63.9
"Bhai kal se baarish atomic number 67 rahi hai, koi madad nahi aayi abhi tak 😡",50.2
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",50.2
"Child crying, we are on rooftop since final night, water wax tight 🚨",100.0
"Kids outcry, we are on rooftop since last place night, piddle rising fast 🚨",100.0
Lol citizenry swimming on road again 🌧 ️,17.5
Lol people swim on road again 🌧 ️,17.5
"Cyclone vacation declare, no college today yay 😅",20.5
"Cyclone holiday declare, no college today yay 😅",20.5
"Cellar totally filled with water, auto doob gayi 😭 # Flood",89.6
"Basement completely fill with pee, car doob gayi 😭 # Floods",89.6
"@ IndianNavy please rescue u, bewilder in Thiruvananthapuram since cyclone hit!",90.7
"@ IndianNavy please delivery us, beat in Thiruvananthapuram since cyclone hit!",90.7
"High wave hitting the shoring, fishermen in peril 🚤 🌊",72.6
"Eminent waves hitting the shore, fisher in risk 🚤 🌊",72.6
"My house cost whole flood, water till knee tier 😭 # FloodAlert",57.9
"My mansion is completely flooded, water money box knee level 😭 # FloodAlert",57.9
"Power cut in unharmed area due to cyclone, shuddery night 😰",68.1
"Business leader cut in whole area ascribable to cyclone, chilling night 😰",68.1
"Bombay rains once more lol, bas abhi to office chhod do 😂 🌧 ️",23.6
"Bombay rains over again lol, bas abhi to office chhod do 😂 🌧 ️",23.6
"Flood in Puri, delight @ NDRF come tight 🙏",27.3
"Photoflood in Puri, delight @ NDRF come fast 🙏",27.3
"Precisely another day, stay in traffic due to rain down 😒",98.6
"Just another day, bond in dealings referable to rain 😒",98.6
"Flood in Visakhapatnam, delight @ NDRF do fast 🙏",59.5
"Flood in Visakhapatnam, please @ NDRF arrive fast 🙏",59.5
"@ IndianNavy please rescue america, adhere in Cuttack since cyclone hit!",91.1
"@ IndianNavy please delivery us, stuck in Cuttack since cyclone hit!",91.1
"Just another day, stick in dealings due to rain 😒",80.0
"Just another daylight, stuck in dealings due to rain 😒",80.0
"Cyclone winds are to a fault potent, sir herbert beerbohm tree falling everywhere 🌪 ️ # CycloneAlert",66.4
"Cyclone winds be too secure, trees fall everyplace 🌪 ️ # CycloneAlert",66.4
"@ IndianNavy please delivery us, stuck in Puri since cyclone hitting!",94.1
"@ IndianNavy please rescue atomic number 92, stuck in Puri since cyclone hit!",94.1
Kadal pelican state periya alai varuthu (big undulation at sea) 🌊 stay dependable # TamilNadu,46.5
Kadal pelican state periya alai varuthu (handsome waves at sea) 🌊 stay safe # TamilNadu,46.5
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",55.1
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",55.1
"Kid crying, we are on rooftopsince last nox, water heighten tight 🚨",90.3
"Kids cry, we are on rooftopsince last nighttime, water rising fast 🚨",90.3
"Bhai kal se baarish atomic number 67 rahi hai, koi madad nahi aayi abhi tak 😡",42.1
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",42.1
"Seashore flooding easy, people go inland",45.6
"Seashore swamp easy, people moving inland",45.6
"Cyclone destroyed roof of my planetary house, kid shudder 😢",83.1
"Cyclone destroyed roof of my house, thomas kyd shudder 😢",83.1
"Rained again lol, hot cooker beads 😂 🌧 ️",20.1
"Rained again lol, red hot cooker beads 😂 🌧 ️",20.1
"Cyclone destroyed roof of my house, kids shiver 😢",93.1
"Cyclone destroyed roof of my house, kid shudder 😢",93.1
"Violent storm surge is break the wall, sea piss entering colony in Madras",59.1
"Storm surge is break the wall, ocean water enter settlement in Chennai",59.1
Rainy vibraharp with chai ☕ but route full of water 🤦,17.8
Rainy vibration with chai ☕ but roads full of water 🤦,17.8
"@ IndianNavy please rescue us, stuck in Cuttack since cyclone hit!",86.6
"@ IndianNavy please rescue atomic number 92, bewilder in Cuttack since cyclone hit!",86.6
"Beach closed due to high lunar time period, lifeguards warning tourists ⚠ ️",58.0
"Beach closed due to high tide, lifeguard warn tourer ⚠ ️",58.0
"Can ' t break down outside, road impede due to heavy rain in Mumbai. Anyone else stuck?",97.0
"Can ' t lead outside, roads embarrass due to lumbering rain in Bombay. Anyone else adhere?",97.0
Rainy vibes with chai ☕ merely road full of water 🤦,38.9
Rainy vibes with chai ☕ just roads replete of water 🤦,38.9
"Kids blazon out, we be on rooftop since last place night, water rising fast 🚨",98.5
"Kids holler, we represent on rooftop since last night, water rising tight 🚨",98.5
"Seashore oversupply slowly, citizenry move inland",60.3
"Seashore deluge tardily, people moving inland",60.3
"Kidskin crying, we are on rooftop since last night, water resurrect tight 🚨",89.1
"Kid cry, we be on rooftop since last nox, water rising fast 🚨",89.1
"Cyclone wind are likewise strong, tree falling everywhere 🌪 ️ # CycloneAlert",53.3
"Cyclone wind are too strong, trees fall everywhere 🌪 ️ # CycloneAlert",53.3
"Gamey waves hitting the shore, fisherman in risk 🚤 🌊",71.0
"High waves hitting the shoring, fishermen in risk 🚤 🌊",71.0
"Mumbai rain over again lol, bas abhi to office chhod coiffe 😂 🌧 ️",39.5
"Mumbai rains again lol, bas abhi to business office chhod do 😂 🌧 ️",39.5
Kadal la periya alai varuthu (openhanded wave at ocean) 🌊 remain safe # TamilNadu,31.5
Kadal la periya alai varuthu (self aggrandising wave at sea) 🌊 appease dependable # TamilNadu,31.5
Kadal la periya alai varuthu (enceinte waves at ocean) 🌊 stay put dependable # TamilNadu,78.3
Kadal la periya alai varuthu (grownup waves at ocean) 🌊 stay safe # TamilNadu,78.3
"My house personify completely flood, piss money box knee level 😭 # FloodAlert",50.9
"My house is completely flood, water till knee level 😭 # FloodAlert",50.9
"High waves hit the shoring, fishermen in danger 🚤 🌊",67.8
"Mellow waves hitting the shore, fisherman in risk 🚤 🌊",67.8
"Basement completely fill with pee, car devil grass gayi 😭 # Floods",100.0
"Basement completely fulfil with water, railcar doob gayi 😭 # Overflow",100.0
"Tempest upsurge is break dance the rampart, sea water entering colony in Chennai",59.8
"Storm surge is breaking the wall, ocean pee entering colony in Madras",59.8
Kadal louisiana periya alai varuthu (big waves at sea) 🌊 outride safe # TamilNadu,47.5
Kadal pelican state periya alai varuthu (big wave at sea) 🌊 stay dependable # TamilNadu,47.5
"@ IndianNavy please rescue us, stuck in Thiruvananthapuram since cyclone collision!",81.8
"@ IndianNavy please saving us, stuck in Thiruvananthapuram since cyclone hit!",81.8
"Heavy pelting again, classic Mumbai monsoon 😂",31.5
"Heavy rainwater again, classic Bombay monsoon 😂",31.5
"Mumbai rain down again lol, bas abhi to office chhod do 😂 🌧 ️",10.0
"Mumbai rain again lol, bas abhi to office chhod manage 😂 🌧 ️",10.0
"Seashore flooding slow, citizenry moving inland",30.0
"Seashore flood slowly, people displace inland",30.0
"Water entered background level, electricity go, delight institutionalise help urgently!!",98.6
"Water enter primer trading floor, electricity live, please send help desperately!!",98.6
Rainy vibes with chai ☕ simply roads wide of h2o 🤦,19.2
Rainy vibes with chai ☕ but roads wide cut of water supply 🤦,19.2
"Can ' t move outside, roadstead blocked due to heavy rain in Cuttack. Anyone else stuck?",98.4
"Prat ' t go external, roads blocked due to heavy rainfall in Cuttack. Anyone else stuck?",98.4
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",20.5
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",20.5
"No food, no drunkenness weewee since yesterday, maroon in Visakhapatnam flood",85.3
"No food, no drink piss since yesterday, maroon in Visakhapatnam flood",85.3
"Simply another day, stuck in dealings due to rain down 😒",86.6
"Simply another twenty four hours, stuck in traffic imputable to rain 😒",86.6
"Beach closed referable to gamy tide, lifesaver warning tourists ⚠ ️",76.2
"Beach close due to high tide, lifeguards discourage tourists ⚠ ️",76.2
"My house be altogether flooded, water money box knee level 😭 # FloodAlert",55.9
"My house is completely flood, water supply boulder clay knee level 😭 # FloodAlert",55.9
"Water enrol priming coat level, electrical energy gone, please send help desperately!!",94.1
"Water entered ground story, electrical energy gone, delight send off help desperately!!",94.1
"More rainfall, more mud, same route 😂",69.5
"To a greater extent rain, more mud, same route 😂",69.5
"My family is completely flooded, water cashbox knee joint level 😭 # FloodAlert",100.0
"My house embody altogether flooded, water till knee layer 😭 # FloodAlert",100.0
Lol people float on route again 🌧 ️,24.5
Lol hoi polloi swimming on route again 🌧 ️,24.5
"Just another day, stuck in dealings ascribable to rain 😒",85.0
"Exactly another twenty four hours, stuck in traffic due to rain 😒",85.0
